"k_nn","d","residual_variance"
16,2,0.63676799721437
21,2,0.613019055541198
26,2,0.61759430820569
31,2,0.630347723907771
36,2,0.631911131846622
41,2,0.634201683348898
46,2,0.653190657635835
51,2,0.661620770251525
16,12,0.414233027474936
21,12,0.361642904258226
26,12,0.337337240204992
31,12,0.32368537673377
36,12,0.314783089696087
41,12,0.320483749689719
46,12,0.321615443304759
51,12,0.331927749261973
16,22,0.383431774847692
21,22,0.327677628255092
26,22,0.283176294114401
31,22,0.265975505446446
36,22,0.26149100762501
41,22,0.260505355176794
46,22,0.254344254218576
51,22,0.247433330109422
16,32,0.360350164562802
21,32,0.297306911693837
26,32,0.257262405553542
31,32,0.237564556661135
36,32,0.236203421695956
41,32,0.234133688935022
46,32,0.224146367234578
51,32,0.22094313443371
16,42,0.346878631877134
21,42,0.294822641186855
26,42,0.242600547854449
31,42,0.223813859166353
36,42,0.221641529739556
41,42,0.219914957617848
46,42,0.211883392167325
51,42,0.208228819468388
16,52,0.345591931420576
21,52,0.287753915959689
26,52,0.235994976839875
31,52,0.218945193438959
36,52,0.213944695698686
41,52,0.212755736161255
46,52,0.205147949137315
51,52,0.20078519365388
16,62,0.341580502160751
21,62,0.283500270182819
26,62,0.235828927226095
31,62,0.215988865524246
36,62,0.212868607032074
41,62,0.209018771031035
46,62,0.20196026820316
51,62,0.197993758030723
16,72,0.339623819036951
21,72,0.281174398026401
26,72,0.233591033456692
31,72,0.21472337239893
36,72,0.211250943153487
41,72,0.209780175270236
46,72,0.202302214666188
51,72,0.198863484486783
